pid,artist,location,label,_date,object_type,current_location,source,order,thumbnail,full,manifest
obj1,Come Gise Okso Yarbi,Colombia,paseo ,2019,Pintura en aerosol,Barranquilla ,Foto de Ilian Sanchez,1,,,
obj2,Gise Come Okso Yarbi,Colombia,paseo ,2019,Pintura en aerosol,Barranquilla ,Foto de Ilian Sanchez,2,,,
obj3,Gise,Colombia,paseo ,2019,Pintura en aerosol,Barranquilla ,Foto de Ilian Sanchez,3,,,
obj4,Come,Colombia,paseo ,2019,Pintura en aerosol,Barranquilla ,Foto de Ilian Sanchez,4,,,
obj5,Yarbi Okso Come Gise,Colombia,paseo ,2019,Pintura en aerosol,Barranquilla ,Foto de Ilian Sanchez,5,,,
